,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
17,600111.XSHG,600111,北方稀土,XSHG,2019-10-31,9.96,9.96,9.96,10.05,9.95,10.05,13247610,132768221,11153,0.0036,1,36512313300,36512313300,0.009,54.8585,59.3793,3.8279,1,10.022
18,600111.XSHG,600111,北方稀土,XSHG,2019-11-01,10.05,10.05,10.01,10.33,9.95,10.29,36562734,374529166,23650,0.0101,1,37384249140,37384249140,0.0239,56.1685,60.7973,3.9193,1,10.243
19,600111.XSHG,600111,北方稀土,XSHG,2019-11-04,10.29,10.29,10.29,10.29,10.17,10.17,18543510,189550444,15314,0.0051,1,36948281220,36948281220,-0.0117,55.5135,60.0883,3.8736,1,10.222
20,600111.XSHG,600111,北方稀土,XSHG,2019-11-05,10.17,10.17,10.19,10.29,10.11,10.24,17696389,180795366,13899,0.0049,1,37202595840,37202595840,0.0069,55.8956,60.5019,3.9002,1,10.217
21,600111.XSHG,600111,北方稀土,XSHG,2019-11-06,10.24,10.24,10.19,10.38,10.15,10.27,22690874,233444388,16198,0.0062,1,37311587820,37311587820,0.0029,56.0594,60.6791,3.9116,1,10.288
22,600111.XSHG,600111,北方稀土,XSHG,2019-11-07,10.27,10.27,10.22,10.26,10.12,10.15,15314161,155600808,11554,0.0042,1,36875619900,36875619900,-0.0117,55.4043,59.9701,3.8659,1,10.161
23,600111.XSHG,600111,北方稀土,XSHG,2019-11-08,10.15,10.15,10.16,10.2,10.04,10.05,19041195,192332802,14451,0.0052,1,36512313300,36512313300,-0.0099,54.8585,59.3793,3.8279,1,10.101
24,600111.XSHG,600111,北方稀土,XSHG,2019-11-11,10.05,10.05,10.02,10.19,9.86,9.9,24853576,249064193,18090,0.0068,1,35967353400,35967353400,-0.0149,54.0397,58.493,3.7707,1,10.021
25,600111.XSHG,600111,北方稀土,XSHG,2019-11-12,9.9,9.9,9.85,9.93,9.44,9.66,27143297,261551794,22725,0.0075,1,35095417560,35095417560,-0.0242,52.7296,57.075,3.6793,1,9.636
26,600111.XSHG,600111,北方稀土,XSHG,2019-11-13,9.66,9.66,9.66,9.66,9.48,9.5,19397656,185011867,14809,0.0053,1,34514127000,34514127000,-0.0166,51.8563,56.1297,3.6184,1,9.538
27,600111.XSHG,600111,北方稀土,XSHG,2019-11-14,9.5,9.5,9.49,9.57,9.45,9.55,16021785,152392636,10409,0.0044,1,34695780300,34695780300,0.0053,52.1292,56.4251,3.6374,1,9.512
28,600111.XSHG,600111,北方稀土,XSHG,2019-11-15,9.55,9.55,9.56,10.04,9.53,9.73,34961151,343590197,24627,0.0096,1,35349732180,35349732180,0.0188,53.1117,57.4886,3.706,1,9.828
29,600111.XSHG,600111,北方稀土,XSHG,2019-11-18,9.73,9.73,9.73,9.8,9.55,9.72,16043280,155158813,12939,0.0044,1,35313401520,35313401520,-0.001,53.0572,57.4295,3.7022,1,9.671
30,600111.XSHG,600111,北方稀土,XSHG,2019-11-19,9.72,9.72,9.72,9.89,9.64,9.89,18897062,185301436,12425,0.0052,1,35931022740,35931022740,0.0175,53.9851,58.4339,3.7669,1,9.806
31,600111.XSHG,600111,北方稀土,XSHG,2019-11-20,9.89,9.89,9.85,10.29,9.78,10.18,52643094,528928363,32279,0.0145,1,36984611880,36984611880,0.0293,55.5681,60.1474,3.8774,1,10.047
32,600111.XSHG,600111,北方稀土,XSHG,2019-11-21,10.18,10.18,10.08,10.17,9.96,9.98,27749216,278248443,21208,0.0076,1,36257998680,36257998680,-0.0196,54.4764,58.9657,3.8012,1,10.027
33,600111.XSHG,600111,北方稀土,XSHG,2019-11-22,9.98,9.98,9.99,10.1,9.82,9.87,24388754,243077168,16815,0.0067,1,35858361420,35858361420,-0.011,53.8759,58.3158,3.7593,1,9.967
34,600111.XSHG,600111,北方稀土,XSHG,2019-11-25,9.87,9.87,9.85,10.03,9.8,9.95,21632588,215340637,15005,0.006,1,36149006700,36149006700,0.0081,54.3126,58.7884,3.7898,1,9.954
35,600111.XSHG,600111,北方稀土,XSHG,2019-11-26,9.95,9.95,9.95,10.06,9.87,10.05,22526137,224794326,14177,0.0062,1,36512313300,36512313300,0.0101,54.8585,59.3793,3.8279,1,9.979
36,600111.XSHG,600111,北方稀土,XSHG,2019-11-27,10.05,10.05,10.0,10.17,9.97,10.04,21693589,218399613,15524,0.006,1,36475982640,36475982640,-0.001,54.8039,59.3202,3.824,1,10.067
37,600111.XSHG,600111,北方稀土,XSHG,2019-11-28,10.04,10.04,10.2,10.25,10.04,10.07,29001071,293972039,19231,0.008,1,36584974620,36584974620,0.003,54.9677,59.4974,3.8355,1,10.137
38,600111.XSHG,600111,北方稀土,XSHG,2019-11-29,10.07,10.07,10.06,10.09,9.9,9.94,16717388,166298467,13168,0.0046,1,36112676040,36112676040,-0.0129,54.258,58.7293,3.786,1,9.948
39,600111.XSHG,600111,北方稀土,XSHG,2019-12-02,9.94,9.94,9.9,9.94,9.72,9.74,21674149,212962355,15818,0.006,1,35386062840,35386062840,-0.0201,53.1663,57.5477,3.7098,1,9.826
40,600111.XSHG,600111,北方稀土,XSHG,2019-12-03,9.74,9.74,9.77,9.94,9.77,9.9,18530785,183231590,13759,0.0051,1,35967353400,35967353400,0.0164,54.0397,58.493,3.7707,1,9.888
41,600111.XSHG,600111,北方稀土,XSHG,2019-12-04,9.9,9.9,9.91,10.32,9.9,10.24,71165676,723187972,43694,0.0196,1,37202595840,37202595840,0.0343,55.8956,60.5019,3.9002,1,10.162
42,600111.XSHG,600111,北方稀土,XSHG,2019-12-05,10.24,10.24,10.15,10.22,10.1,10.18,34579080,351054904,25807,0.0095,1,36984611880,36984611880,-0.0059,55.5681,60.1474,3.8774,1,10.152
43,600111.XSHG,600111,北方稀土,XSHG,2019-12-06,10.18,10.18,10.15,10.34,10.12,10.21,35709654,365303544,23358,0.0098,1,37093603860,37093603860,0.0029,55.7319,60.3246,3.8888,1,10.23
44,600111.XSHG,600111,北方稀土,XSHG,2019-12-09,10.21,10.21,10.21,10.33,10.14,10.23,29007136,296574020,18668,0.008,1,37166265180,37166265180,0.002,55.841,60.4428,3.8964,1,10.224
45,600111.XSHG,600111,北方稀土,XSHG,2019-12-10,10.23,10.23,10.18,10.29,10.1,10.2,27289255,278119636,17335,0.0075,1,37057273200,37057273200,-0.0029,55.6773,60.2655,3.885,1,10.192
46,600111.XSHG,600111,北方稀土,XSHG,2019-12-11,10.2,10.2,10.19,10.2,10.08,10.1,20443680,206997150,14854,0.0056,1,36693966600,36693966600,-0.0098,55.1314,59.6747,3.8469,1,10.125
