,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600111.XSHG,600111,北方稀土,XSHG,2020-06-30,9.22,9.22,9.26,9.35,9.26,9.32,19850348,184825558,11672,0.0055,1,33860175120,33860175120,0.0108,52.7799,58.4631,3.4903,1,9.311
1,600111.XSHG,600111,北方稀土,XSHG,2020-07-01,9.32,9.32,9.32,9.47,9.3,9.47,30830490,289772927,17421,0.0085,1,34405135020,34405135020,0.0161,53.6293,59.404,3.5465,1,9.399
2,600111.XSHG,600111,北方稀土,XSHG,2020-07-02,9.47,9.47,9.46,9.64,9.4,9.64,47297274,451008353,27694,0.013,1,35022756240,35022756240,0.018,54.5921,60.4704,3.6102,1,9.536
3,600111.XSHG,600111,北方稀土,XSHG,2020-07-03,9.64,9.64,9.69,9.99,9.63,9.86,73887110,725969493,41808,0.0203,1,35822030760,35822030760,0.0228,55.8379,61.8504,3.6925,1,9.825
4,600111.XSHG,600111,北方稀土,XSHG,2020-07-06,9.86,9.86,9.91,10.6,9.89,10.57,151989424,1563867913,81909,0.0418,1,38401507620,38401507620,0.072,59.8587,66.3042,3.9584,1,10.289
5,600111.XSHG,600111,北方稀土,XSHG,2020-07-07,10.57,10.57,10.69,10.78,10.4,10.45,139239479,1473702383,72760,0.0383,1,37965539700,37965539700,-0.0114,59.1791,65.5514,3.9135,1,10.584
6,600111.XSHG,600111,北方稀土,XSHG,2020-07-08,10.45,10.45,10.45,11.5,10.41,11.5,148441435,1641929628,63899,0.0409,1,41780259000,41780259000,0.1005,65.1254,72.1379,4.3067,1,11.061
7,600111.XSHG,600111,北方稀土,XSHG,2020-07-09,11.5,11.5,12.0,12.52,11.81,12.31,308294865,3747386181,161571,0.0849,1,44723042460,44723042460,0.0704,69.7125,77.2189,4.6101,1,12.155
8,600111.XSHG,600111,北方稀土,XSHG,2020-07-10,12.31,12.31,12.23,13.28,11.99,12.64,276219463,3497754595,158861,0.076,1,45921954240,45921954240,0.0268,71.5813,79.289,4.7336,1,12.663
9,600111.XSHG,600111,北方稀土,XSHG,2020-07-13,12.64,12.64,12.67,13.2,12.36,13.0,237877939,3061260407,123412,0.0655,1,47229858000,47229858000,0.0285,73.62,81.5472,4.8685,1,12.869
10,600111.XSHG,600111,北方稀土,XSHG,2020-07-14,13.0,13.0,12.91,13.42,12.66,13.03,174554873,2264299039,105166,0.048,1,47338849980,47338849980,0.0023,73.7899,81.7354,4.8797,1,12.972
11,600111.XSHG,600111,北方稀土,XSHG,2020-07-15,13.03,13.03,13.39,13.5,12.1,12.13,194379116,2445414408,124832,0.0535,1,44069090580,44069090580,-0.0691,68.6931,76.0898,4.5427,1,12.581
12,600111.XSHG,600111,北方稀土,XSHG,2020-07-16,12.13,12.13,12.52,12.78,11.79,11.95,174545280,2161416270,110455,0.048,1,43415138700,43415138700,-0.0148,67.6738,74.9607,4.4752,1,12.383
13,600111.XSHG,600111,北方稀土,XSHG,2020-07-17,11.95,11.95,11.95,12.07,11.36,11.72,112597536,1319046127,72594,0.031,1,42579533520,42579533520,-0.0192,66.3712,73.518,4.3891,1,11.715
14,600111.XSHG,600111,北方稀土,XSHG,2020-07-20,11.72,11.72,11.83,12.89,11.79,12.89,191865271,2400304351,110762,0.0528,1,46830220740,46830220740,0.0998,72.997,80.8572,4.8273,1,12.51
15,600111.XSHG,600111,北方稀土,XSHG,2020-07-21,12.89,12.89,12.85,12.85,12.45,12.63,131147146,1652120780,79378,0.0361,1,45885623580,45885623580,-0.0202,71.5246,79.2263,4.7299,1,12.597
16,600111.XSHG,600111,北方稀土,XSHG,2020-07-22,12.63,12.63,12.79,12.98,12.55,12.95,155551514,1987696922,93898,0.0428,1,47048204700,47048204700,0.0253,73.3368,81.2336,4.8497,1,12.778
17,600111.XSHG,600111,北方稀土,XSHG,2020-07-23,12.95,12.95,13.27,13.88,12.81,13.03,282349605,3748193179,171714,0.0777,1,47338849980,47338849980,0.0062,73.7899,81.7354,4.8797,1,13.275
18,600111.XSHG,600111,北方稀土,XSHG,2020-07-24,13.03,13.03,12.8,13.35,12.28,12.34,212356346,2713215781,130371,0.0585,1,44832034440,44832034440,-0.053,69.8824,77.4071,4.6213,1,12.777
19,600111.XSHG,600111,北方稀土,XSHG,2020-07-27,12.34,12.34,12.33,12.65,11.86,12.46,116575058,1429770971,72807,0.0321,1,45268002360,45268002360,0.0097,70.5619,78.1599,4.6662,1,12.265
20,600111.XSHG,600111,北方稀土,XSHG,2020-07-28,12.46,12.46,12.59,12.97,12.33,12.4,132549768,1676400962,80733,0.0365,1,45050018400,45050018400,-0.0048,70.2221,77.7835,4.6438,1,12.647
21,600111.XSHG,600111,北方稀土,XSHG,2020-07-29,12.4,12.4,12.33,12.8,12.1,12.74,124052798,1550843524,73707,0.0341,1,46285260840,46285260840,0.0274,72.1476,79.9163,4.7711,1,12.501
22,600111.XSHG,600111,北方稀土,XSHG,2020-07-30,12.74,12.74,12.73,12.88,12.46,12.52,96535439,1222322420,60254,0.0266,1,45485986320,45485986320,-0.0173,70.9017,78.5362,4.6887,1,12.662
23,600111.XSHG,600111,北方稀土,XSHG,2020-07-31,12.52,12.52,12.39,12.69,12.21,12.41,109264822,1353668031,71531,0.0301,1,45086349060,45086349060,-0.0088,70.2788,77.8462,4.6475,1,12.389
24,600111.XSHG,600111,北方稀土,XSHG,2020-08-03,12.41,12.41,12.41,13.1,12.35,13.1,170271810,2177087168,99831,0.0469,1,47593164600,47593164600,0.0556,74.1863,82.1745,4.9059,1,12.786
25,600111.XSHG,600111,北方稀土,XSHG,2020-08-04,13.1,13.1,13.09,13.09,12.72,12.9,118359664,1521394658,69997,0.0326,1,46866551400,46866551400,-0.0153,73.0537,80.9199,4.831,1,12.854
26,600111.XSHG,600111,北方稀土,XSHG,2020-08-05,12.9,12.9,12.95,14.19,12.84,14.19,361761293,4964974993,183583,0.0996,1,51553206540,51553206540,0.1,80.359,89.0119,5.3141,1,13.724
27,600111.XSHG,600111,北方稀土,XSHG,2020-08-06,14.19,14.19,13.98,14.55,13.83,14.08,314971310,4468519165,180276,0.0867,1,51153569280,51153569280,-0.0078,79.7361,88.3219,5.2729,1,14.187
28,600111.XSHG,600111,北方稀土,XSHG,2020-08-07,14.08,14.08,14.0,14.88,13.85,14.61,259564399,3709614951,155415,0.0714,1,53079094260,53079094260,0.0376,82.7375,91.6465,5.4714,1,14.292
29,600111.XSHG,600111,北方稀土,XSHG,2020-08-10,14.61,14.61,14.35,14.38,13.66,13.72,201289635,2817953699,132404,0.0554,1,49845665520,49845665520,-0.0609,77.6974,86.0637,5.1381,1,13.999
30,600111.XSHG,600111,北方稀土,XSHG,2020-08-11,13.72,13.72,13.75,14.27,13.69,13.87,168499348,2356718622,108461,0.0464,1,50390625420,50390625420,0.0109,78.5469,87.0046,5.1943,1,13.987
31,600111.XSHG,600111,北方稀土,XSHG,2020-08-12,13.87,13.87,13.55,13.56,13.07,13.26,137520429,1823377191,91076,0.0379,1,48174455160,48174455160,-0.044,75.0924,83.1782,4.9658,1,13.259
32,600111.XSHG,600111,北方稀土,XSHG,2020-08-13,13.26,13.26,13.37,13.56,13.13,13.4,88865887,1186400033,60870,0.0245,1,48683084400,48683084400,0.0106,75.8852,84.0564,5.0183,1,13.35
33,600111.XSHG,600111,北方稀土,XSHG,2020-08-14,13.4,13.4,13.41,13.57,13.23,13.47,77270891,1036362184,49583,0.0213,1,48937399020,48937399020,0.0052,76.2816,84.4955,5.0445,1,13.412
34,600111.XSHG,600111,北方稀土,XSHG,2020-08-17,13.47,13.47,13.48,13.94,13.33,13.93,115334624,1574586234,72408,0.0317,1,50608609380,50608609380,0.0341,78.8866,87.381,5.2167,1,13.652
35,600111.XSHG,600111,北方稀土,XSHG,2020-08-18,13.93,13.93,14.04,14.25,13.72,13.8,112761903,1572126086,72877,0.031,1,50136310800,50136310800,-0.0093,78.1504,86.5655,5.1681,1,13.942
36,600111.XSHG,600111,北方稀土,XSHG,2020-08-19,13.8,13.8,14.2,14.49,13.78,13.86,158930985,2249150615,102113,0.0437,1,50354294760,50354294760,0.0043,74.2221,76.7214,5.0886,1,14.152
37,600111.XSHG,600111,北方稀土,XSHG,2020-08-20,13.86,13.86,13.54,13.55,13.07,13.2,113662473,1517062584,79857,0.0313,1,47956471200,47956471200,-0.0476,70.6877,73.068,4.8463,1,13.347
